Reference,Quantity,Identifier,Package,Value,Mouser Part Number,Voltage,Current,Power,PN
C36;C35;C34;C38;C31;C3,6,,,0.1uF,,,,,
U6,1,,,MAX2611,,,,,
L4;L5;L1;L2,4,,,FB,,,,,
R13,1,,,75,,,,,
P14;J4;P15;J5,4,,,SMA,523-132289RP ,,,,
T3,1,,,ADT1-1,,,,,
R15;R16,2,,,100,,,,,
U7,1,,,OPA26741D,595-OPA2674ID,,,,
R17;R20;R19;R18;R2;R1,6,,,1K,,,,,
T2,1,,,ADT1.5-1,,,,,
C37,1,,,10uF,,,,,
T1,1,,,TC4-LT,,,,,
R22;R21,2,,,4R99,,,,,
J1,1,,,Conn_02x10_Top_Bottom,,,,,
C2,1,,,0.001uF,,,,,
C1,1,,,0.1 uF,,,,,
C56;C4,2,,,1uF,,,,,
R25;R26;R27,3,,,4.7K,,,,,
J2;J3,2,,,Conn_Coaxial,,,,,
CODEC1,1,,,Conn_01x11,,,,,
U1,1,,,ULN2003,,,,,
J8,1,,,AudioJack2_Ground,,,,,
J6;J7,2,,,Conn_01x02,,,,,
P1;P2,2,,,CONN_02X13,68683-313LF,,,,
D2;D1,2,,,ZENER,512-1N5226B,,,,
MT1,1,,,1pin,,,,,
H1;H2;H3;H4,4,,,MountingHole,,,,,
J9,1,,,Conn_02x05_Odd_Even,,,,,
U2,1,,,CY8CKIT-062-BLE,,,,,
R4;R3;R5,3,,,10K,,,,,
