Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser Part Number,Mouser Part NUmber,Mousr Part Number
"H1;H2;H3;H4","4","","","MountingHole","","","","","","","",""
"C36;C35;C34;C18;C16;C17;C38;C31;C3;C5;C10;C11;C13","13","","","0.1uF","","","","","","","",""
"U6","1","","","MAX2611","","","","","","700-MAX2611EUS+T ","",""
"L4;L5;L1;L7;L2;L3","6","","","FB","","","","","","","",""
"R13;R7","2","","","75","","","","","","","",""
"P14","1","","","SMA","","","","","","","712-CONSMA001-C-G",""
"T3","1","","","ADT1-1","","","","","","139-ADT1-1","",""
"J4;P15;J5","3","","","SMA","","","","","","712-CONSMA001-C-G","",""
"K3;K1;K2","3","","","RELAY_RF","","","","","","","",""
"R10;R9;R15;R16","4","","","100","","","","","","","",""
"R12;R11","2","","","62","","","","","","","",""
"R8","1","","","240","","","","","","","",""
"U7","1","","","OPA26741D","","","","","","595-OPA2674I-14D","",""
"R17;R20;R19;R18;R24;R2;R1","7","","","1K","","","","","","","",""
"T2","1","","","ADT1.5-1","","","","","","139-ADT1.5-1","",""
"C37","1","","","10uF","","","","","","","",""
"T1","1","","","TC4-1T","","","","","","139-TC4-1TX","",""
"R22;R21","2","","","4R99","","","","","","","",""
"C2","1","","","0.001uF","","","","","","","",""
"C1","1","","","0.1 uF","","","","","","","",""
"J14","1","","","Barrel_Jack_MountingPin","","","","","","","",""
"C14","1","","","10uF","","","","","","","","80-C1206C106Z4VACTU"
"U4","1","","","LM7805","","","","","","511-LD1085V50","",""
"C15","1","","","10uF","","","","","","80-C1206C106Z4VACTU","",""
"HS1","1","","","Heatsink","","","","","","","",""
"U8","1","","","LM1085-5","","","","","","511-LD1085V50","",""
"C56;C4;C6;C9;C7;C8;C12","7","","","1uF","","","","","","","",""
"R25;R26;R27;R5","4","","","4.7K","","","","","","","",""
"J2;J3","2","","","Conn_Coaxial","","","","","","490-RCJ-027","",""
"CODEC1","1","","","Conn_01x11","","","","","","","",""
"J8","1","","","AudioJack2_Ground","","","","","","523-ACJS-MV35-3","",""
"J6;J7","2","","","Conn_01x02","","","","","","","",""
"R6;R14;R23","3","","","200","","","","","","","",""
"J1","1","","","Conn_01x06","","","","","","","",""
"U5;U1","2","","","ULN2003","","","","","","","",""
"J13","1","","","Conn_01x05","","","","","","","",""
"J9","1","","","Conn_02x05_Odd_Even","","","","","","","",""
"R4;R3","2","","","10K","","","","","","","",""
"U3","1","","","CY8CKIT-43","","","","","","","",""
"J10","1","","","Conn_01x03_Male","","","","","","","",""
"J11","1","","","Conn_01x05_Male","","","","","","","",""
"J12","1","","","Conn_01x02_Male","","","","","","","",""
"U2","1","","","CY8C4127AXI-S443","","","","","","","",""
"P2;P1","2","","","CONN_02X13","","","","","","","",""
"D2;D1","2","","","ZENER","","","","","","","",""
"MT1","1","","","1pin","","","","","","","",""
